2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [USER_FILE] to Logger[org.apache.nifi.authorization]
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.cluster.authorization] to INFO
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.cluster.authorization] onto the JUL framework
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.nifi.cluster.authorization] to false
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [USER_FILE] to Logger[org.apache.nifi.cluster.authorization]
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.web.filter.RequestLogger] to INFO
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.web.filter.RequestLogger] onto the JUL framework
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.nifi.web.filter.RequestLogger] to false
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,207 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [USER_FILE] to Logger[org.apache.nifi.web.filter.RequestLogger]
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,208 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.bootstrap] to INFO
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,208 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.bootstrap] onto the JUL framework
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,208 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.nifi.bootstrap] to false
2019-06-28 20:53:16,236 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,208 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [BOOTSTRAP_FILE] to Logger[org.apache.nifi.bootstrap]
2019-06-28 20:53:16,237 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,208 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.bootstrap.Command] to INFO
2019-06-28 20:53:16,237 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,208 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.bootstrap.Command] onto the JUL framework
